"id","loc","v(g)","ev(g)","iv(g)","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","defects"
"49","97","23","11","13","269","1611.84","0.02","45.85","35.01","51967.89","0.54","2887.11","72","12","15","0","25","31","160","111","45","1"
"50","9","2","1","2","26","96.21","0.15","6.67","13.59","616.79","0.03","34.27","6","0","1","0","8","6","14","12","3",""
"51","10","2","1","2","25","97.67","0.19","5.14","18.28","527.7","0.03","29.32","7","0","1","0","9","7","14","8","3",""
"52","5","1","1","1","18","66.61","0.4","2.5","21.51","166.52","0.02","9.25","3","0","0","0","5","7","11","7","1","1"
"53","26","3","1","3","134","687.32","0.06","17.82","40.04","11852.91","0.23","658.5","23","0","1","0","16","22","82","52","5",""
"54","11","2","1","2","36","152.93","0.2","5.09","26.4","764.23","0.05","42.46","9","0","0","0","7","11","19","18","3",""
"55","13","1","1","1","21","70.28","0.29","3.5","20.09","246.08","0.02","13.67","6","4","1","0","6","6","11","8","1",""
"56","12","3","3","2","45","222.97","0.1","10.21","22.3","2229.72","0.07","123.87","9","0","1","0","13","14","25","20","5",""
"57","9","1","1","1","13","43.19","0.33","3","11","144.43","0.01","8.22","5","0","2","0","6","3","9","3","1",""
"58","74","13","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1"
"59","32","4","1","1","77","388.42","0.09","10.69","37.17","4346.47","0.13","241.47","24","0","6","0","11","16","44","33","7",""
"60","15","2","1","1","37","157.89","0.12","8.25","19.86","1278.37","0.05","71.02","11","0","2","0","11","10","22","15","3",""
"61","10","2","1","2","14","48.43","0.28","3.6","13.45","174.36","0.02","9.69","6","0","2","0","6","5","8","6","3",""
"62","40","1","1","1","168","853.68","0.05","18.24","42.98","14115.6","0.28","784.2","33","1","5","0","12","25","87","61","1",""
"63","30","3","1","2","89","418.76","0.07","15.21","28.19","6369.62","0.14","353.87","24","0","6","0","13","14","55","34","5","1"
"64","19","8","4","4","207","1485.6","0.03","34","32.83","37951.13","0.5","2108.4","11","0","3","3","24","18","156","51","15",""
"65","62","11","7","9","225","1306.65","0.03","29.84","43.79","38988.89","0.44","2166.05","48","0","12","0","25","31","151","74","21",""
"66","15","2","1","2","49","227.55","0.15","6.46","34.55","1511.49","0.08","83.97","9","1","2","0","8","13","28","23","3",""
"67","57","10","6","1","143","792.81","0.04","25.26","31.44","18509.19","0.26","1028.29","41","4","8","0","21","19","92","51","19",""
"68","18","3","3","2","50","235.02","0.1","10.21","23.5","2350.76","0.08","130.6","15","0","1","0","13","14","27","23","5",""
"69","23","5","3","3","87","460.74","0.05","19.38","22.91","8083.31","0.15","449.26","19","0","2","0","20","18","44","33","9",""
"70","39","9","8","1","120","518.63","0.03","39","13.3","20226.62","0.18","1123.7","31","0","8","0","25","7","78","42","17","1"
"71","27","6","5","6","74","364.35","0.06","16.07","22.67","5855.6","0.12","325.31","20","0","3","0","15","15","44","30","11","1"
"72","49","5","1","5","124","708.24","0.06","17.94","44.35","12754.41","0.24","708.58","36","4","7","0","18","28","72","52","9",""
"73","88","22","14","12","304","1662.21","0.02","41.02","44.44","81820.29","0.55","4545.57","74","15","10","0","23","31","215","118","43","1"
"74","32","4","1","4","104","534.38","0.05","20.57","27","9185.7","0.18","510.32","22","0","8","0","19","21","60","44","7",""
"75","5","2","1","1","13","44.97","0.33","3","14.99","134.92","0.02","7.5","2","0","0","0","6","5","8","5","3",""
"76","10","2","1","2","25","102.19","0.19","5.4","17.63","558.41","0.03","31.02","7","0","1","0","9","10","16","12","3",""
"77","4","1","1","1","10","28.07","0.38","2.67","10.53","74.86","0.01","4.16","2","0","0","0","6","3","6","4","1",""
"78","32","4","1","3","85","449.26","0.08","13.3","33.78","5888.27","0.15","327.13","19","0","6","0","14","20","49","38","7",""
"79","19","3","1","3","77","388.42","0.07","14","26.7","5350.53","0.13","297.25","16","0","1","0","14","14","47","28","5",""
"80","42","3","1","3","134","761.04","0.06","17.78","40.23","10761.19","0.25","597.84","34","0","4","0","16","26","74","60","5",""
"81","4","1","1","1","15","51.89","0.5","2","25.95","103.78","0.02","5.77","2","0","0","0","4","7","8","7","1","1"
"82","10","2","1","2","14","46.51","0.19","5.25","8.86","244.16","0.02","13.56","7","0","1","0","6","4","7","7","3",""
"83","17","1","1","1","58","272.63","0.15","6.56","37.82","1840.77","0.09","102.26","11","0","3","0","8","17","31","27","1",""
"84","42","9","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17",""
"85","7","1","1","1","6","15.51","0.67","1.5","10.34","23.26","0.01","1.29","3","0","2","0","3","3","3","3","1",""
"86","100","8","6","7","196","1143.25","0.04","23.24","49.2","26572.76","0.38","1476.69","63","28","7","0","20","37","110","86","15","1"
"87","18","3","1","1","36","144","0.11","9.17","15","1200","0.05","66.67","13","0","2","0","10","6","23","13","5",""
"88","8","2","1","1","18","74.23","0.22","4.5","14.8","296.92","0.02","16.5","4","0","2","0","6","6","9","9","3",""
"89","7","1","1","1","13","41.21","0.29","3.5","11.77","144.23","0.01","8.01","4","0","1","0","7","4","7","4","1",""
"90","26","3","1","1","31","118.03","0.08","12","11.11","1563.06","0.04","86.84","13","9","3","0","9","6","23","12","5",""
"91","89","13","12","3","222","1197.09","0.03","34.13","37","47209.52","0.4","2619.49","61","7","14","0","26","32","132","91","25","1"
"92","7","2","1","2","16","55.35","0.5","2","27.68","110.7","0.02","6.15","5","0","0","0","4","7","9","7","3",""
"93","11","2","1","2","28","106.61","0.18","5.63","19.46","693.96","0.04","38.55","9","0","0","0","9","8","16","12","3",""
"94","19","3","1","1","41","177.2","0.13","7.7","23.79","1083.57","0.06","60.2","9","3","4","0","12","10","27","12","5",""
"95","20","2","1","2","65","309.07","0.08","12.54","24.28","3814.78","0.1","211.93","14","1","3","0","13","14","38","27","3",""
"96","24","4","1","4","63","294.41","0.09","11.67","26.37","4526.5","0.1","251.47","18","0","4","0","14","15","42","25","7",""
"97","26","2","1","2","94","472.25","0.08","12.89","37.75","5658.32","0.16","314.35","20","1","3","0","13","21","55","39","3",""
"98","21","5","1","5","93","477.02","0.08","13.33","35.78","6360.31","0.16","353.35","18","0","1","0","14","21","53","38","9","1"
"99","17","6","6","4","97","493.48","0.04","24.07","20.5","11876.51","0.16","659.81","27","0","3","0","19","15","59","38","11",""
"100","9","2","1","2","21","79.95","0.16","6.3","12.69","503.71","0.03","27.98","6","0","1","0","9","5","12","7","3",""
"101","14","2","1","2","34","146.95","0.16","6.25","23.19","844.41","0.05","46.91","10","0","2","0","7","10","19","15","3",""
"102","31","3","1","2","104","505.23","0.05","19.72","26.89","11067.73","0.17","612.52","21","3","5","0","16","17","60","44","5",""
"103","12","3","1","3","26","108.42","0.13","8","12.84","1084.18","0.04","60.23","7","0","3","0","8","6","16","12","5",""
"104","26","3","3","2","88","496.33","0.09","11.5","39.35","5624.99","0.17","312.5","23","0","1","0","14","22","48","40","5",""
"105","95","13","6","8","196","1027.9","0.04","24.31","42.44","30374.3","0.34","1687.46","50","35","8","2","28","39","119","77","24","1"
"106","34","4","1","3","83","380.55","0.07","15.5","24.55","5898.55","0.13","327.7","26","3","3","0","12","16","52","31","7",""
"107","48","6","1","6","192","1035.43","0.07","14.96","68.08","1529.25","0.35","84.96","37","6","2","0","14","34","141","69","11","1"
"108","10","1","1","1","27","93.4","0.14","7","13.66","800.63","0.03","44.48","5","0","3","0","6","6","15","12","1",""
"109","32","4","3","4","91","487.54","0.06","15.55","31.36","7578.99","0.16","421.05","22","4","4","0","19","22","55","36","7","1"
"110","30","5","3","3","80","428.77","0.09","11.55","41.05","4062.21","0.14","225.68","25","0","3","0","16","26","46","34","9",""
"111","47","9","7","5","243","1400.07","0.03","35.93","39.9","46993.5","0.47","2744.75","41","0","2","0","22","29","168","81","17",""
"112","37","4","1","3","111","563.52","0.06","15.95","35.97","8830.53","0.19","490.59","30","0","6","0","15","20","60","51","7",""
"113","64","7","4","4","232","1115.31","0.02","43.45","25.13","43442.73","0.37","2429.04","49","6","4","0","20","17","138","58","13",""
"114","75","8","4","7","269","1585.62","0.05","19.64","73.83","30805.41","0.53","1711.41","54","2","8","0","15","47","144","123","15","1"
"115","56","9","4","4","249","1370.77","0.03","37.88","34.38","46993.5","0.46","2610.75","45","0","10","0","27","32","142","97","14",""
"116","12","3","1","2","34","149.34","0.11","8.8","16.97","1314.18","0.05","73.01","11","0","1","0","11","10","18","16","5",""
"117","12","1","1","1","63","257.51","0.1","9.64","25.27","2309.48","0.09","128.35","9","0","1","0","7","11","39","29","1",""
"118","8","1","1","1","16","50.72","0.25","4","12.48","232.53","0.02","12.93","4","0","2","0","6","5","8","8","1",""
"119","9","2","1","2","17","46.6","0.19","5.25","8.86","244.16","0.02","13.56","5","0","1","0","6","4","11","7","3",""
"120","10","1","1","1","18","66.61","0.33","3","16.5","187.33","0.02","10.33","4","2","4","0","4","4","10","8","1",""
"121","26","2","1","2","70","343.48","0.08","12.54","27.41","4691.29","0.11","260.63","17","3","4","0","13","16","38","32","3",""
"122","101","13","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1"
"123","42","5","1","5","138","766.36","0.06","18","44.1","14236.57","0.26","790.92","29","2","7","0","18","30","78","60","9",""
"124","137","37","24","9","547","3388.37","0.02","63.59","61.91","175998.75","1.13","9777.71","114","2","5","0","28","47","367","207","73","1"
"125","18","2","1","2","48","217.13","0.13","8.25","27.65","1791.33","0.07","99.52","14","1","2","0","12","12","30","18","3","1"
"126","95","18","5","13","408","2383.08","0.02","40.88","59.99","94330.35","0.79","5240.57","79","0","16","0","23","48","246","141","35","1"
"127","30","9","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","1"
"128","25","4","1","2","59","260","0.1","10","27.07","2538.89","0.09","141.99","18","0","5","0","16","16","39","20","5",""
"129","4","1","1","1","1","0","0","1.5","43.79","0","0","0","1","0","0","0","1","0","1","0","1",""
"130","41","4","1","3","157","664.82","0.03","28.5","23.77","28991.96","0.22","1610.66","41","0","2","0","17","14","103","42","7","1"
"131","24","5","1","2","63","302.86","0.07","13.5","23.44","3639","0.1","202.17","19","0","3","0","15","15","40","23","9",""
"132","102","31","22","19","567","3723.86","0.02","43.11","76.79","165091.96","1.24","9171.78","67","0","17","0","26","63","315","243","61","1"
"133","11","2","1","2","37","159.91","0.15","6.75","23.39","1046.69","0.05","58.15","9","0","0","0","9","10","22","15","3",""
"134","36","4","1","4","75","375","0.14","7.29","53.57","3307.46","0.15","183.75","24","0","9","0","12","21","48","29","7","1"
"135","50","6","4","3","171","941.62","0.04","23.1","40.52","20861.67","0.31","1158.98","35","2","11","0","18","25","112","64","11",""
"136","47","2","1","2","53","225.14","0.07","13.71","18.25","3432.02","0.08","190.67","16","21","4","0","12","10","27","24","3","1"
"137","30","6","1","5","68","332.84","0.07","14","23.23","4393.52","0.11","244.08","26","0","2","0","12","12","40","28","10",""
"138","38","7","5","4","139","724.11","0.05","19.78","35.97","12660.78","0.24","703.38","20","9","6","0","19","25","77","52","13","1"
"139","39","5","1","4","102","563.52","0.04","23.04","24.38","12780.35","0.19","708.49","32","1","4","0","27","26","64","41","9",""
"140","12","2","1","2","29","113.3","0.18","5.69","19.92","644.39","0.04","35.8","10","0","0","0","8","8","16","13","3",""
"141","48","8","8","5","139","784.5","0.05","18.29","39.38","13485.6","0.26","749.2","34","0","8","0","16","28","77","62","15",""
"142","19","1","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1",""
"143","24","4","1","2","41","182.84","0.09","10.83","15.62","1562.02","0.06","86.78","20","0","3","0","13","8","26","15","7",""
"144","85","11","9","7","267","1607.97","0.04","23.16","59.84","36943.68","0.54","2052.42","67","6","8","1","20","49","152","110","21",""
"145","44","8","6","3","128","685.77","0.03","30.5","22.66","19841.98","0.23","1102.33","36","2","2","0","21","19","79","49","15",""
"146","10","1","1","1","14","50.19","0.33","3","16.73","150.57","0.02","8.36","5","1","2","0","6","6","8","6","1","1"
"147","11","2","1","2","21","72.65","0.29","3.5","22.08","289.36","0.03","16.07","6","0","3","0","6","7","14","7","3",""
"148","22","3","1","2","50","219.62","0.09","10.91","21.3","2175.01","0.07","120.83","13","2","4","0","12","11","30","20","5",""
"149","10","2","1","2","31","133.98","0.13","7.5","16.1","829.81","0.04","46.1","7","0","1","0","10","8","19","12","3",""
"150","112","33","32","3","294","1650.71","0.02","50","24.61","98828.71","0.55","5490.48","61","18","8","0","20","20","162","96","65","1"
"151","5","1","1","1","16","53.15","0.3","3.33","15.19","186.03","0.02","10.33","3","0","0","0","5","6","9","8","1",""
"152","12","2","1","2","28","114.45","0.09","10.8","10.85","899.7","0.04","49.98","11","0","1","0","12","5","20","8","3",""
"153","41","4","1","4","105","536.44","0.05","19","28.09","11080.47","0.18","615.58","29","0","9","0","15","18","58","42","7",""
"154","54","5","1","5","120","575.06","0.05","18.75","29","10555.04","0.19","586.39","38","2","7","0","17","18","75","45","9","1"
"155","21","5","4","4","77","388.42","0.06","15.6","26.25","6232.9","0.13","346.27","16","0","3","0","16","15","41","32","9",""
"156","24","5","1","1","62","310","0.05","19.93","16.57","6046.3","0.1","335.91","19","1","1","0","17","9","39","23","9",""
"157","30","3","1","3","79","398.51","0.14","6.9","56.21","2719.48","0.13","151.08","25","0","5","0","13","25","46","27","5",""
"158","7","1","1","1","19","80","0.17","5.83","12.56","466.67","0.03","25.93","4","0","1","0","10","6","12","7","1",""
"159","95","22","1","8","267","1564.08","0.03","30.39","47.31","47424.91","0.52","2634.72","66","20","8","0","20","33","151","116","43","1"
"160","41","5","1","5","117","595.23","0.07","13.57","39.72","7259.26","0.21","403.29","26","5","3","0","13","23","66","51","9",""
"161","41","6","5","2","165","865.32","0.03","35.7","20.3","28563.14","0.29","1586.84","36","0","5","0","21","15","103","62","11",""
"162","41","8","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1"
"163","7","1","1","1","22","85.95","0.2","5","17.51","437.85","0.03","24.32","5","0","0","0","7","7","12","10","1",""
"164","24","2","1","2","68","326.9","0.1","9.63","33.53","3187.28","0.11","177.07","16","2","4","0","11","16","42","26","3",""
"165","54","6","1","2","176","824.79","0.03","35.89","23.49","29896.28","0.27","1660.9","42","6","5","0","16","14","119","57","11",""
"166","18","2","1","2","36","143.06","0.19","5.33","25.54","890.16","0.05","49.45","13","0","2","0","8","12","21","16","3",""
"167","65","9","3","5","220","1246.06","0.04","26.8","46.32","39298.33","0.42","2183.24","51","3","7","0","17","29","114","106","17","1"
"168","16","1","1","1","23","83.05","0.25","4","20.76","332.19","0.03","18.46","10","2","1","0","4","6","12","12","1",""
"169","22","3","1","3","56","260.06","0.08","12.27","21.1","3418.78","0.09","189.93","14","1","4","0","16","15","33","23","5",""
"170","101","15","9","9","408","2378.34","0.02","43.15","57.23","114716.17","0.79","6373.12","83","1","13","12","27","41","229","176","29",""
"171","32","7","6","4","79","329.42","0.05","21.25","16.67","8924.96","0.11","495.83","20","6","6","0","17","10","50","29","13",""
"172","67","4","1","3","210","1176.53","0.05","18.01","56.51","20649.73","0.39","1147.21","45","14","15","0","16","38","118","92","7",""
"173","18","3","1","3","47","215.49","0.11","9.17","23.78","2666.74","0.07","148.15","11","1","3","0","11","12","26","21","5",""
"174","14","5","1","1","50","212.4","0.09","11.67","18.17","2416.5","0.07","134.25","10","0","2","0","12","9","30","20","9",""
"175","16","4","4","3","53","252.01","0.09","11.5","21.34","3384.71","0.08","188.04","12","0","2","0","13","13","30","23","7",""
"176","48","3","1","3","162","867.92","0.05","20.98","40.83","18383.2","0.29","1021.5","31","5","9","0","13","22","98","68","5",""
"177","30","4","3","3","100","535.76","0.05","18.57","28.85","9949.74","0.18","552.76","25","0","7","1","20","21","62","39","7",""
"178","23","4","1","4","81","408.6","0.06","15.42","26.5","6299.19","0.14","349.95","20","0","1","0","15","18","45","36","7",""
"179","38","8","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15",""
"180","59","8","1","5","215","1176.52","0.04","23.69","45.88","27003.64","0.39","1500.87","54","0","5","0","20","37","117","98","15",""
"181","20","1","1","1","55","264.4","0.09","11.92","22.92","3050.82","0.09","169.49","13","0","5","0","12","13","36","19","1",""
"182","84","15","10","7","346","1991.19","0.02","51.56","42.19","102670.79","0.66","5703.93","53","0","7","0","22","32","196","150","29","1"
"183","26","3","1","2","44","193.26","0.13","8","23.92","1438.42","0.06","79.91","14","0","5","0","11","11","26","16","5",""
"184","49","12","9","10","168","938.26","0.05","19.8","47.39","18577.82","0.31","1032.09","39","24","9","1","18","30","102","66","23","1"
"185","15","2","1","1","30","120","0.15","6.5","20","898","0.04","49.94","10","0","3","0","10","10","17","13","3",""
"186","70","9","8","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","1"
"187","22","1","1","1","56","228.9","0.09","11","22.91","3106.47","0.08","172.58","12","0","6","0","11","12","32","24","1",""
"188","13","2","1","2","30","122.62","0.15","6.86","17.85","889.45","0.04","49.3","10","0","1","0","8","7","18","12","3",""
"189","26","5","1","4","72","360","0.09","11.67","30.92","4048","0.12","224.89","21","0","1","0","14","18","44","28","7",""
"190","32","6","1","1","63","286.73","0.08","12","23.82","3124.78","0.1","173.6","19","8","3","0","10","10","39","24","11","1"
"191","9","1","1","1","22","83.76","0.13","7.88","9.57","653.83","0.03","36.32","5","0","2","0","10","4","15","7","1",""
"192","8","1","1","1","15","55.51","0.32","3.12","17.3","222.03","0.02","12.33","4","1","1","0","5","5","10","5","1",""
"193","16","2","1","2","43","188.87","0.1","10.4","19.7","2180.22","0.06","121.12","11","0","3","0","13","10","27","16","3",""
"194","8","1","1","1","16","57.36","0.4","2.5","22.94","143.4","0.02","7.97","5","0","1","0","5","7","9","7","1",""
"195","14","2","1","2","30","122.62","0.11","9.75","14.22","1310.13","0.04","72.79","8","0","2","0","12","8","17","13","3",""
"196","22","2","1","2","69","320.43","0.12","8.33","36.34","2670.88","0.11","148.38","17","0","3","0","10","18","39","30","3",""
"197","26","6","3","2","89","408.06","0.06","15.81","29.98","7346.58","0.14","408.14","22","0","2","0","15","16","61","34","11","1"
"198","23","6","1","5","65","309.07","0.09","10.67","26.5","3516.95","0.1","195.39","20","0","2","0","11","15","37","32","11",""
"199","4","1","1","1","12","39.86","0.33","3","13.29","119.59","0.01","6.64","2","0","0","0","6","5","7","5","1",""
"200","7","2","1","1","19","70.31","0.16","6.13","10.65","393.73","0.02","21.87","4","0","1","0","7","4","12","8","3",""
"201","7","1","1","1","14","48.43","0.28","3.6","13.45","174.36","0.01","9.69","4","0","1","0","6","5","8","6","1",""
"202","10","2","1","2","23","95.91","0.14","7.07","13.22","586.15","0.03","32.56","7","0","1","0","8","7","14","9","3",""
"203","108","22","12","16","258","1667.66","0.04","25.55","60.44","46500.6","0.56","2583.37","68","13","20","0","21","39","136","122","43",""
"204","9","2","1","2","25","86.49","0.19","5.25","17.12","479.73","0.03","26.65","7","0","0","0","7","6","15","10","3",""
"205","45","4","1","4","207","1168.24","0.03","29.59","37.8","35432.13","0.39","1968.45","37","3","7","0","21","32","111","86","7",""
"206","6","1","1","1","21","69.76","0.3","3.33","20.93","232.53","0.02","12.92","3","0","1","0","4","6","10","11","1",""
"207","58","7","1","7","161","865.67","0.04","22.73","36.6","20748.42","0.29","1152.69","43","5","8","0","17","25","94","69","13",""
"208","20","2","1","2","62","272.32","0.07","13.8","21.81","3121.04","0.09","173.39","14","0","5","0","16","10","40","16","3",""
"209","526","111","111","33","1584","10430.58","0.01","133.52","106.36","1896161.7","3.48","105342.32","322","32","42","4","65","83","865","645","221","1"
"210","4","1","1","1","14","48.43","0.28","3.6","13.45","174.36","0.02","9.69","2","0","0","0","5","5","8","6","1",""
"211","44","4","1","3","112","596.06","0.06","16.32","37.41","10230.46","0.2","568.36","26","6","6","0","14","22","64","48","7","1"
"212","31","6","1","2","90","483.25","0.04","27.13","19.2","12496.15","0.16","694.23","23","0","6","0","19","12","59","31","11",""
"213","12","2","1","2","48","172.88","0.12","8.5","21.61","1283.11","0.06","71.28","8","0","1","0","9","9","31","17","3",""
"214","96","13","4","12","266","1656.04","0.03","29.33","54.15","63676.64","0.55","3537.59","75","8","9","0","23","45","154","114","25",""
"215","23","2","1","1","93","437.14","0.07","13.81","31.23","5972.56","0.15","331.49","17","0","2","0","9","16","59","34","3",""
"216","6","1","1","1","21","72.65","0.24","4.2","16.49","299.83","0.02","16.65","4","0","0","0","7","5","15","6","1",""
"217","8","2","1","2","19","72.34","0.17","5.83","12.52","429.12","0.02","23.84","5","0","1","0","10","6","12","7","3",""
"218","14","2","1","2","48","222.91","0.11","9.27","22.46","2229.72","0.07","123.87","8","0","4","0","11","11","30","17","3",""
"219","45","6","1","5","150","752.37","0.03","39","19.9","25226.63","0.25","1401.48","31","3","8","0","19","15","86","58","11",""
"220","11","1","1","1","25","100","0.19","5.33","16.73","474.29","0.03","26.35","5","0","4","0","8","6","17","8","1",""
"221","8","2","1","1","18","66.61","0.19","5.33","11.84","374.67","0.02","20.81","5","0","0","0","6","4","11","7","3",""
"222","13","4","1","1","38","171.9","0.11","8.73","18.54","1355.67","0.06","75.31","10","0","1","0","12","11","22","16","7","1"
"223","86","9","1","5","180","957.95","0.04","25.52","35.51","23135.93","0.32","1285.33","46","18","8","13","16","20","120","60","15",""
"224","29","3","1","2","97","471.22","0.06","18","26.14","8766.9","0.16","487.05","21","0","4","0","18","18","53","40","5",""
"225","18","6","1","3","69","320.43","0.04","23.33","13.2","7924.63","0.11","440.26","16","0","2","0","14","9","39","30","11",""
